Audio Resource	Text Resource	Print Arguments	Length	Text (transcribed from audio)			
0			0				
1	206 39		84	The baker, a large, sturdy fellow, waits for customers behind a pie-covered counter.			
2	206 46		94	In the kitchen of the bakehouse, Graham can see another big, burly man doing the day's baking.			
3	206 50		58	The Baker brothers seem to have a pet; a large, mangy cat.			
4	206 54		93	Delicious, mouthwatering custard pies lining the countertop attract Graham's eyes...and nose!			
5	206 57		75	Graham can see the bakehouse kitchen through the partially-open Dutch door.			
6	206 59		106	Mmmmmmm. The wonderful smells of the bakehouse set Graham's stomach to rumbling and his mouth to watering.			
7	206 60		59	The little boy looks all dressed up for a special occasion.			
8	206 62		72	The lady appears to be in a real hurry as she walks briskly past Graham.			
9	206 47		81	The kitchen is off-limits to customers. Besides, Graham would only be in the way.			
10	206 52		42	The cat doesn't look very friendly at all.			
11	206 55		32	Graham doesn't need another pie.			
12	206 56		43	Graham would love to buy a pie if he could.			
13	206 43		65	Graham has already eaten a pie and is not interested in any more.			
14	206 48		52	The baker's brother is too busy to chat with Graham.			
15	206 51		60	The cat doesn't appear to like Graham, much less answer him.			
16	206 58		51	Only the baker brothers are allowed in the kitchen.			
17	206 61		52	He appears in too much of a hurry to talk to Graham.			
18	206 63		57	She seems to be in too much of a hurry to talk to Graham.			
19	206 44		41	The baker wouldn't be interested in that.			
20	206 45		72	Graham already has a pie and is not interested in any other baked goods.			
21	206 49		72	The man in the kitchen is doing the baking and NOT tending to customers.			
22	206 53		42	The cat is much too lazy to care about it.			
23			0				
24	220 5		145	Having found help for Cedric from the hermit, Graham decides it would be best to sail there rather than risk hurting him further by carrying him.			
25	220 6		125	With Cedric quietly moaning from the bottom of the boat, Graham decides it would be best to leave him there and go find help.			
26	220 7		68	An old, cast-off sailboat sits forlornly on the narrow, sandy beach.			
27	220 8		62	Graham notices a small hole in the bottom of the old sailboat.			
28	220 12		49	Cedric quietly moans from the bottom of the boat.			
29	220 9		45	Graham is not strong enough to push the boat.			
30	220 4		144	Firmly, Graham wedges the softened piece of beeswax into the small hole in the boat's hull. Hopefully, the wax will hold and make her seaworthy.			
31	220 10		37	That won't help Graham with the boat.			
32	550 0		70	A large beast rushes toward Graham with hatred in his red-rimmed eyes.			
33	550 1		40	A large beast lies stunned on the floor.			
34	550 10		76	Through the open doorway, Graham can see the wizard lying asleep in his bed.			
35	550 11		48	Mordack lies asleep on his huge, horrendous bed.			
36	550 12		33	The cat is attracted to the fish.			
37	550 13		35	Greedily, the cat devours the fish.			
38	550 14		44	The cat seems content after eating the fish.			
39	550 15		34	The cat looks in a hurry to leave.			
40	550 16		41	The cat struggles in vain inside the bag.			
41	550 17		39	The black cat eyes Graham suspiciously.			
42	550 2		45	Graham could never overpower this huge beast!			
43	550 3		35	Graham wants no part of this beast!			
44	550 8		48	This would not be a good time to bother Mordack!			
45	550 18		55	It wouldn't be wise for Graham to carry the cat around.			
46	550 19		31	Those claws look awfully sharp.			
47	550 4		34	The empty bag proves useless here.			
48	550 5		9	Too late!			
49	550 6		47	THAT won't help Graham against this huge beast!			
